,Ціна,"Локація (Місто, Район)",Поверх,Поверховість,Загальна площа,Площа кухні,Кількість кімнат,Меблювання,Ремонт,Домашні улюбленці,Автономність при блекауті
12,2 500 грн.,"Одеса, Пересипський - Сьогодні о 22:48",1,1,25 м²,5 м²,1 кімната,З меблями,,,
13,12 000 грн.,"Одеса, Пересипський - 11 червня 2024 р.",10,10,65 м²,14 м²,2 кімнати,З меблями,Євроремонт,,Працює водопопостачання
14,6 500 грн.,"Одеса, Київський - 30 червня 2024 р.",4,4,41 м²,9 м²,1 кімната,З меблями,,,
15,4 000 грн.,"Харків, Новобоварський - 06 липня 2024 р.",9,14,43 м²,10 м²,1 кімната,З меблями,Житловий стан,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸",
16,15 000 грн.,"Київ, Голосіївський - Сьогодні о 22:45",,,,,,,,,
17,"20 000 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Шевченківський - Сьогодні о 22:44",16,25,52 м²,15 м²,2 кімнати,З меблями,Євроремонт,"Так, маленький песик(до 10 кг) 🐕, Так, інша тваринка 🦕",Працює інтернет
18,6 000 грн.,Суми - Сьогодні о 22:43,14,14,36 м²,9 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,Працює інтернет
19,3 500 грн.,Інженерний - Сьогодні о 23:06,2,7,20 м²,3 м²,1 кімната,З меблями,Авторський проект,,
20,3 500 грн.,"Харків, Київський - Сьогодні о 23:05",,,,,,,,,
21,12 000 грн.,Софіївська Борщагівка - Сьогодні о 22:53,2,5,43 м²,18 м²,1 кімната,З меблями,Євроремонт,"Так, котик 😸",
22,3 500 грн.,Конотоп - Сьогодні о 22:45,5,5,37 м²,7 м²,1 кімната,,,Ні 🥺,
23,6 500 грн.,Софіївська Борщагівка - Сьогодні о 22:42,9,10,27 м²,7 м²,1 кімната,,Євроремонт,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕","Працює інтернет, Працює ліфт, Працює водопопостачання"
24,7 000 грн.,"Дніпро, Індустріальний - Сьогодні о 22:57",2,9,38 м²,8 м²,1 кімната,З меблями,,,
25,24 347 грн.,"Одеса, Хаджибейський - Сьогодні о 22:51",6,21,95 м²,28 м²,3 кімнати,,,,
26,"10 499 грн.<span class=""css-1vxklie"">Договірна</span>","Одеса, Приморський - 06 липня 2024 р.",14,15,54 м²,20 м²,2 кімнати,З меблями,Авторський проект,Ні 🥺,
27,10 000 грн.,"Харків, Холодногірський - 19 червня 2024 р.",3,10,70 м²,12.50 м²,2 кімнати,З меблями,Євроремонт,,"Працює опалення, Працює водопопостачання, Працює інтернет"
28,48 500 грн.,"Дніпро, Соборний - 06 липня 2024 р.",6,18,138 м²,30 м²,3 кімнати,З меблями,Авторський проект,Ні 🥺,
29,12 800 грн.,"Київ, Солом'янський - Сьогодні о 22:56",9,9,23 м²,3 м²,1 кімната,З меблями,Євроремонт,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, середній песик(до 25 кг) 🐩, Так, інша тваринка 🦕","Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення"
30,9 999 грн.,"Одеса, Приморський - Сьогодні о 22:50",1,3,38 м²,10 м²,1 кімната,З меблями,Євроремонт,,
31,23 000 грн.,"Київ, Шевченківський - Сьогодні о 22:56",4,9,42 м²,12 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,"Працює інтернет, Працює водопопостачання, Працює опалення"
32,3 500 грн.,"Харків, Шевченківський  - Сьогодні о 23:03",,,,,,,,,
33,3 000 грн.,Бражники - Сьогодні о 22:39,4,12,33 м²,6 м²,1 кімната,З меблями,Косметичний ремонт,,
34,4 500 грн.,"Запоріжжя, Дніпровський - Сьогодні о 22:56",1,5,51 м²,8 м²,2 кімнати,З меблями,Житловий стан,,
35,10 000 грн.,"Дніпро, Соборний - Сьогодні о 22:44",,,,,,,,,
36,11 500 грн.,"Одеса, Приморський - Сьогодні о 22:51",,,,,,,,,
37,8 000 грн.,"Одеса, Приморський - Сьогодні о 22:40",2,5,34 м²,6 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,
38,"6 000 грн.<span class=""css-1vxklie"">Договірна</span>","Харків, Новобоварський - Сьогодні о 22:59",8,9,65 м²,7 м²,3 кімнати,З меблями,Косметичний ремонт,"Так, маленький песик(до 10 кг) 🐕, Так, середній песик(до 25 кг) 🐩, Так, котик 😸",
39,"60 868 грн.<span class=""css-1vxklie"">Договірна</span>","Одеса, Приморський - Сьогодні о 11:46",16,17,100 м²,26 м²,3 кімнати,З меблями,Авторський проект,Ні 🥺,
40,8 000 грн.,"Харків, Київський - Сьогодні о 21:23",3,5,50 м²,9 м²,2 кімнати,З меблями,,,
41,12 000 грн.,"Житомир, Центр - Сьогодні о 07:54",5,5,46 м²,6 м²,2 кімнати,З меблями,Косметичний ремонт,,
42,18 260 грн.,Суми - Сьогодні о 22:39,8,12,81.20 м²,21.70 м²,2 кімнати,З меблями,Авторський проект,Ні 🥺,
43,13 999 грн.,Кам'янець-Подільський - Сьогодні о 22:44,1,9,80 м²,10 м²,2 кімнати,Без меблів,Євроремонт,,
44,12 000 грн.,Слов'янськ - Сьогодні о 23:01,2,5,65 м²,9 м²,3 кімнати,З меблями,,,
45,2 500 грн.,Краматорськ - Сьогодні о 22:58,9,9,50 м²,7 м²,2 кімнати,З меблями,,,
46,24 347 грн.,"Львів, Шевченківський - Сьогодні о 22:54",7,14,47 м²,20 м²,1 кімната,З меблями,Авторський проект,"Так, маленький песик(до 10 кг) 🐕",
47,29 999 грн.,"Одеса, Приморський - Сьогодні о 22:58",3,10,100 м²,35 м²,3 кімнати,З меблями,Євроремонт,,"Працює опалення, Працює ліфт, Підключене резервне живлення, Працює інтернет"
48,85 215 грн.,"Львів, Франківський - Сьогодні о 23:01",10,10,234 м²,17 м²,5+ кімнат,,Авторський проект,"Так, котик 😸, Так, середній песик(до 25 кг) 🐩, Так, маленький песик(до 10 кг) 🐕","Працює ліфт, Працює опалення, Працює інтернет, Працює водопопостачання"
49,28 365 грн.,"Одеса, Приморський - Сьогодні о 23:03",14,20,90 м²,25 м²,3 кімнати,З меблями,Євроремонт,,
50,60 868 грн.,"Київ, Оболонський - Сьогодні о 22:52",10,24,52 м²,10 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,
51,48 654 грн.,"Київ, Печерський - Сьогодні о 22:52",3,4,55 м²,7 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,Працює інтернет
52,15 000 грн.,"Одеса, Приморський<!-- --> - <!-- -->Сьогодні о 15:24",2,10,85 м²,12 м²,3 кімнати,З меблями,,Ні 🥺,
53,4 500 грн.,Олексіївка<!-- --> - <!-- -->06 липня 2024 р.,4,8,21 м²,3 м²,1 кімната,З меблями,,,
54,2 000 грн.,Степова<!-- --> - <!-- -->05 липня 2024 р.,2,2,15 м²,12 м²,1 кімната,,,,
55,2 500 грн.,"Одеса, Пересипський<!-- --> - <!-- -->Сьогодні о 22:48",1,1,25 м²,5 м²,1 кімната,З меблями,,,
56,15 000 грн.,"Київ, Голосіївський<!-- --> - <!-- -->Сьогодні о 22:45",6,9,47 м²,11 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
57,"20 000 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Шевченківський<!-- --> - <!-- -->Сьогодні о 22:44",16,25,52 м²,15 м²,2 кімнати,З меблями,Євроремонт,"Так, маленький песик(до 10 кг) 🐕, Так, інша тваринка 🦕",Працює інтернет
58,7 500 грн.,"Запоріжжя, Шевченківський<!-- --> - <!-- -->Сьогодні о 22:36",9,10,53 м²,9 м²,2 кімнати,З меблями,Євроремонт,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸",
59,5 000 грн.,"Одеса, Приморський<!-- --> - <!-- -->Сьогодні о 22:35",1,1,18 м²,18 м²,1 кімната,З меблями,Авторський проект,,
60,8 000 грн.,"Дніпро, Центральний<!-- --> - <!-- -->Сьогодні о 22:33",9,9,32 м²,6 м²,1 кімната,З меблями,Житловий стан,"Так, котик 😸","Працює водопопостачання, Працює опалення, Працює інтернет, Працює ліфт"
61,17 000 грн.,"Житомир, Богунський<!-- --> - <!-- -->Сьогодні о 22:32",3,10,46 м²,15 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,"Працює ліфт, Працює інтернет, Працює водопопостачання, Працює опалення"
62,4 500 грн.,"Кривий Ріг, Металургійний<!-- --> - <!-- -->Сьогодні о 22:27",3,5,45 м²,7 м²,2 кімнати,,,,
63,5 500 грн.,"Одеса, Приморський<!-- --> - <!-- -->Сьогодні о 22:30",1,2,30 м²,30 м²,1 кімната,,Авторський проект,,
64,22 000 грн.,"Київ, Голосіївський<!-- --> - <!-- -->Сьогодні о 22:21",6,14,79 м²,12 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,"Працює опалення, Працює водопопостачання"
65,6 000 грн.,"Миколаїв, Iнгульський<!-- --> - <!-- -->Сьогодні о 12:45",9,9,68 м²,8 м²,3 кімнати,З меблями,Косметичний ремонт,"Так, котик 😸",
66,12 000 грн.,Вишневе<!-- --> - <!-- -->06 липня 2024 р.,9,9,87 м²,12 м²,3 кімнати,З меблями,Косметичний ремонт,"Так, маленький песик(до 10 кг) 🐕","Працює водопопостачання, Працює опалення"
67,3 500 грн.,"Кривий Ріг, Долгинцевський<!-- --> - <!-- -->06 липня 2024 р.",5,9,52 м²,7 м²,3 кімнати,З меблями,Житловий стан,,
68,7 000 грн.,"Одеса, Хаджибейський<!-- --> - <!-- -->Сьогодні о 22:20",12,17,34 м²,9 м²,1 кімната,З меблями,Євроремонт,,Працює інтернет
69,14 000 грн.,"Дніпро, Амур-Нижньодніпровський <!-- --> - <!-- -->Сьогодні о 22:33",6,9,46 м²,8 м²,2 кімнати,,Євроремонт,Ні 🥺,
70,6 000 грн.,Суми<!-- --> - <!-- -->Сьогодні о 22:43,14,14,36 м²,9 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,Працює інтернет
71,3 200 грн.,"Запоріжжя, Хортицький<!-- --> - <!-- -->Сьогодні о 22:33",3,9,38 м²,8 м²,1 кімната,,,,
72,3 500 грн.,Конотоп<!-- --> - <!-- -->Сьогодні о 22:45,5,5,37 м²,7 м²,1 кімната,,,Ні 🥺,
73,6 500 грн.,Софіївська Борщагівка<!-- --> - <!-- -->Сьогодні о 22:42,9,10,27 м²,7 м²,1 кімната,,Євроремонт,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕","Працює інтернет, Працює ліфт, Працює водопопостачання"
74,5 500 грн.,"Одеса, Хаджибейський<!-- --> - <!-- -->Сьогодні о 22:30",3,3,22 м²,6 м²,1 кімната,З меблями,Косметичний ремонт,"Так, котик 😸",
75,16 231 грн.,"Одеса, Приморський<!-- --> - <!-- -->Сьогодні о 22:31",6,7,35 м²,10 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,"Підключене резервне живлення, Працює ліфт, Працює опалення"
76,14 000 грн.,"Львів, Шевченківський<!-- --> - <!-- -->Сьогодні о 22:20",6,9,50 м²,9 м²,2 кімнати,З меблями,Євроремонт,,
77,"3 500 грн.<span class=""css-1vxklie"">Договірна</span>",Нововолинськ<!-- --> - <!-- -->Сьогодні о 22:34,1,2,43 м²,7 м²,2 кімнати,З меблями,Житловий стан,,
78,13 000 грн.,Мукачево<!-- --> - <!-- -->Сьогодні о 18:00,6,6,56 м²,12 м²,2 кімнати,З меблями,Євроремонт,,
79,18 260 грн.,"Львів, Залізничний<!-- --> - <!-- -->06 липня 2024 р.",11,12,39 м²,16 м²,1 кімната,,,,
80,15 000 грн.,"Львів, Залізничний<!-- --> - <!-- -->Сьогодні о 17:58",,,,,,,,,
81,9 999 грн.,"Одеса, Приморський<!-- --> - <!-- -->Сьогодні о 22:50",1,3,38 м²,10 м²,1 кімната,З меблями,Євроремонт,,
82,5 000 грн.,"Одеса, Київський<!-- --> - <!-- -->Сьогодні о 22:29",4,9,49 м²,8 м²,2 кімнати,З меблями,Житловий стан,Ні 🥺,
83,3 000 грн.,"Харків, Немишлянський<!-- --> - <!-- -->Сьогодні о 22:38",,,,,,,,,
84,3 000 грн.,Бражники<!-- --> - <!-- -->Сьогодні о 22:39,4,12,33 м²,6 м²,1 кімната,З меблями,Косметичний ремонт,,
85,10 000 грн.,"Дніпро, Соборний<!-- --> - <!-- -->Сьогодні о 22:44",7,14,42 м²,10 м²,1 кімната,З меблями,,,
86,"14 990 грн.<span class=""css-1vxklie"">Договірна</span>","Одеса, Приморський<!-- --> - <!-- -->Сьогодні о 22:28",26,27,85 м²,25 м²,3 кімнати,З меблями,Авторський проект,,
87,28 405 грн.,"Львів, Франківський<!-- --> - <!-- -->Сьогодні о 22:25",7,15,72 м²,22 м²,2 кімнати,З меблями,Авторський проект,,
88,2 500 грн.,"Запоріжжя, Хортицький<!-- --> - <!-- -->Сьогодні о 22:32",1,9,34 м²,7 м²,1 кімната,,,,
89,60 868 грн.,"Одеса, Приморський<!-- --> - <!-- -->Сьогодні о 22:28",16,22,130 м²,20 м²,3 кімнати,З меблями,Авторський проект,,"Підключене резервне живлення, Працює ліфт, Працює опалення, Працює інтернет, Працює водопопостачання"
90,5 000 грн.,"Харків, Немишлянський<!-- --> - <!-- -->Сьогодні о 22:32",9,9,52 м²,6 м²,2 кімнати,З меблями,Косметичний ремонт,Ні 🥺,
91,12 174 грн.,Івано-Франківськ<!-- --> - <!-- -->06 липня 2024 р.,11,12,47 м²,12 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,Працює водопопостачання
92,5 000 грн.,"Дніпро, Центральний<!-- --> - <!-- -->Сьогодні о 20:38",1,1,32 м²,5 м²,1 кімната,З меблями,Житловий стан,"Так, маленький песик(до 10 кг) 🐕, Так, інша тваринка 🦕, Так, котик 😸",
93,24 000 грн.,"Дніпро, Центральний<!-- --> - <!-- -->05 липня 2024 р.",10,12,53 м²,8 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,
94,8 000 грн.,"Одеса, Приморський<!-- --> - <!-- -->Сьогодні о 22:40",2,5,34 м²,6 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,
95,16 231 грн.,Ужгород<!-- --> - <!-- -->Сьогодні о 22:28,6,9,42 м²,10 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,Підключене резервне живлення
96,18 260 грн.,Суми<!-- --> - <!-- -->Сьогодні о 22:39,8,12,81.20 м²,21.70 м²,2 кімнати,З меблями,Авторський проект,Ні 🥺,
97,"12 000 грн.<span class=""css-1vxklie"">Договірна</span>","Львів, Залізничний<!-- --> - <!-- -->Сьогодні о 22:31",3,3,30 м²,7 м²,1 кімната,З меблями,Євроремонт,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕",
98,18 000 грн.,Бориспіль<!-- --> - <!-- -->Сьогодні о 22:30,8,20,56 м²,25 м²,1 кімната,,,Ні 🥺,"Працює інтернет, Працює ліфт"
99,32 000 грн.,"Дніпро, Соборний<!-- --> - <!-- -->Сьогодні о 22:37",5,12,52 м²,12 м²,2 кімнати,,,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸",
100,13 999 грн.,Кам'янець-Подільський<!-- --> - <!-- -->Сьогодні о 22:44,1,9,80 м²,10 м²,2 кімнати,Без меблів,Євроремонт,,
101,"23 000 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Дарницький<!-- --> - <!-- -->Сьогодні о 22:37",14,18,127 м²,15 м²,3 кімнати,З меблями,Євроремонт,,
102,16 231 грн.,Івано-Франківськ<!-- --> - <!-- -->Сьогодні о 22:37,6,12,70 м²,12 м²,2 кімнати,З меблями,Євроремонт,,
103,24 347 грн.,"Львів, Шевченківський<!-- --> - <!-- -->Сьогодні о 22:38",4,13,39.10 м²,13 м²,1 кімната,З меблями,,,
104,15 400 грн.,"Київ, Святошинський - 06 липня 2024 р.",4,5,20 м²,3 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,
105,12 000 грн.,"Одеса, Приморський - 06 липня 2024 р.",8,14,55 м²,12 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,Підключене резервне живлення
106,9 500 грн.,"Харків, Шевченківський  - Сьогодні о 18:23",1,4,64 м²,9 м²,3 кімнати,З меблями,Євроремонт,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, інша тваринка 🦕",Працює опалення
107,4 500 грн.,"Кривий Ріг, Металургійний - Сьогодні о 22:27",3,5,45 м²,7 м²,2 кімнати,,,,
108,22 000 грн.,"Київ, Голосіївський - Сьогодні о 22:21",6,14,79 м²,12 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,"Працює опалення, Працює водопопостачання"
109,7 000 грн.,"Одеса, Хаджибейський - Сьогодні о 22:20",12,17,34 м²,9 м²,1 кімната,З меблями,Євроремонт,,Працює інтернет
110,9 000 грн.,"Одеса, Пересипський - Сьогодні о 22:18",5,25,65 м²,12 м²,2 кімнати,З меблями,Авторський проект,Ні 🥺,Підключене резервне живлення
111,15 000 грн.,"Київ, Дарницький - Сьогодні о 22:18",2,16,73 м²,9 м²,3 кімнати,З меблями,Євроремонт,Ні 🥺,
112,15 500 грн.,"Київ, Святошинський - Сьогодні о 22:12",14,15,60 м²,10 м²,2 кімнати,З меблями,Косметичний ремонт,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, інша тваринка 🦕",
113,6 000 грн.,"Київ, Святошинський - Сьогодні о 22:12",3,5,30 м²,10 м²,1 кімната,,Житловий стан,,
114,6 000 грн.,"Одеса, Київський - Сьогодні о 22:08",5,5,50 м²,9 м²,2 кімнати,,,Ні 🥺,
115,5 000 грн.,"Київ, Подільський - Сьогодні о 22:07",18,26,64 м²,17 м²,2 кімнати,Без меблів,Після будівельників,,
116,8 500 грн.,Умань - Сьогодні о 22:06,5,5,53 м²,6 м²,3 кімнати,З меблями,,Ні 🥺,
117,8 500 грн.,"Одеса, Пересипський - Сьогодні о 08:18",16,17,40 м²,9 м²,2 кімнати,З меблями,Євроремонт,,"Працює інтернет, Працює опалення, Працює ліфт, Працює водопопостачання"
118,"12 000 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Святошинський - 06 липня 2024 р.",8,16,75 м²,9 м²,2 кімнати,З меблями,Житловий стан,,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення"
119,"20 000 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Солом'янський - Сьогодні о 10:58",19,24,45 м²,6 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
120,"97 389 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Печерський - Сьогодні о 22:17",11,18,150 м²,18 м²,3 кімнати,З меблями,Авторський проект,,
121,9 000 грн.,Рівне - Сьогодні о 22:14,2,14,36 м²,14 м²,1 кімната,З меблями,Косметичний ремонт,,
122,15 000 грн.,Софіївська Борщагівка - Сьогодні о 22:19,6,10,41.30 м²,14.90 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
123,6 500 грн.,Інженерний - Сьогодні о 22:06,5,5,50 м²,7 м²,2 кімнати,З меблями,Косметичний ремонт,,
124,14 000 грн.,"Львів, Шевченківський - Сьогодні о 22:20",6,9,50 м²,9 м²,2 кімнати,З меблями,Євроремонт,,
125,15 000 грн.,Софіївська Борщагівка - Сьогодні о 22:07,7,10,58 м²,12 м²,2 кімнати,,Євроремонт,Ні 🥺,
126,3 000 грн.,Херсон - Сьогодні о 22:19,3,9,33 м²,8 м²,1 кімната,,,,
127,12 174 грн.,"Одеса, Приморський - Сьогодні о 22:12",1,22,41 м²,14 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
128,4 000 грн.,"Одеса, Хаджибейський - Сьогодні о 22:08",11,11,38 м²,9 м²,1 кімната,З меблями,,,
129,5 000 грн.,"Одеса, Київський - Сьогодні о 22:29",4,9,49 м²,8 м²,2 кімнати,З меблями,Житловий стан,Ні 🥺,
130,20 000 грн.,"Київ, Дарницький - 06 липня 2024 р.",21,22,98 м²,12 м²,3 кімнати,З меблями,Євроремонт,,
131,"35 000 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Дніпровський - Сьогодні о 14:05",9,9,86 м²,20 м²,3 кімнати,З меблями,Авторський проект,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, середній песик(до 25 кг) 🐩, Так, інша тваринка 🦕",
132,"9 500 грн.<span class=""css-1vxklie"">Договірна</span>","Одеса, Приморський - 06 липня 2024 р.",1,2,42 м²,18 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення"
133,20 000 грн.,"Дніпро, Центральний - Сьогодні о 22:06",11,12,47 м²,15 м²,2 кімнати,З меблями,Євроремонт,,
134,"14 990 грн.<span class=""css-1vxklie"">Договірна</span>","Одеса, Приморський - Сьогодні о 22:28",26,27,85 м²,25 м²,3 кімнати,З меблями,Авторський проект,,
135,28 405 грн.,"Львів, Франківський - Сьогодні о 22:25",7,15,72 м²,22 м²,2 кімнати,З меблями,Авторський проект,,
136,15 000 грн.,"Харків, Київський - Сьогодні о 22:08",3,3,65 м²,10 м²,3 кімнати,З меблями,Авторський проект,Ні 🥺,"Працює водопопостачання, Працює опалення"
137,60 868 грн.,"Одеса, Приморський - Сьогодні о 22:28",16,22,130 м²,20 м²,3 кімнати,З меблями,Авторський проект,,"Підключене резервне живлення, Працює ліфт, Працює опалення, Працює інтернет, Працює водопопостачання"
138,29 000 грн.,"Київ, Голосіївський - Сьогодні о 22:17",32,34,43 м²,13 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,Працює інтернет
139,16 231 грн.,"Львів, Сихівський - Сьогодні о 22:10",3,5,70 м²,12 м²,3 кімнати,З меблями,Євроремонт,Ні 🥺,
140,4 500 грн.,"Харків, Шевченківський  - Сьогодні о 22:20",4,9,64 м²,7 м²,3 кімнати,З меблями,Косметичний ремонт,,
141,16 231 грн.,Ужгород - Сьогодні о 22:28,6,9,42 м²,10 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,Підключене резервне живлення
142,"4 800 грн.<span class=""css-1vxklie"">Договірна</span>","Харків, Київський - Сьогодні о 22:17",8,9,36 м²,25 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,
143,5 999 грн.,"Запоріжжя, Вознесенівський - 04 липня 2024 р.",5,5,52 м²,7 м²,2 кімнати,З меблями,Косметичний ремонт,,
144,4 000 грн.,"Харків, Шевченківський  - 13 червня 2024 р.",7,8,24 м²,4 м²,1 кімната,Без меблів,Євроремонт,,Працює ліфт
145,4 900 грн.,"Харків, Шевченківський  - 06 липня 2024 р.",1,5,33 м²,7 м²,1 кімната,,,,
146,12 174 грн.,Кременчук - Сьогодні о 22:17,5,5,32 м²,7 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
147,43 869 грн.,"Київ, Дарницький - Сьогодні о 22:07",4,23,85 м²,20 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,Працює ліфт
148,16 231 грн.,Ужгород - Сьогодні о 22:11,3,5,58 м²,10 м²,2 кімнати,З меблями,,,
149,3 500 грн.,"Харків, Шевченківський  - Сьогодні о 22:15",11,16,53 м²,9 м²,2 кімнати,З меблями,Житловий стан,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, середній песик(до 25 кг) 🐩, Так, інша тваринка 🦕",
150,6 000 грн.,"Харків, Слобідський - Сьогодні о 22:09",4,5,38 м²,12 м²,2 кімнати,З меблями,Косметичний ремонт,,
151,10 000 грн.,"Запоріжжя, Вознесенівський - Сьогодні о 22:12",5,9,54 м²,8 м²,3 кімнати,З меблями,Євроремонт,,
152,16 000 грн.,Ужгород - Сьогодні о 22:09,1,5,56 м²,9 м²,2 кімнати,З меблями,Косметичний ремонт,Ні 🥺,
153,101 447 грн.,"Київ, Шевченківський - Сьогодні о 22:07",5,7,100 м²,12 м²,3 кімнати,З меблями,Авторський проект,,
154,"18 000 грн.<span class=""css-1vxklie"">Договірна</span>",Луцьк - Сьогодні о 22:11,7,9,43 м²,16 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,
155,91 302 грн.,"Київ, Шевченківський - Сьогодні о 22:06",5,6,130 м²,12 м²,4 кімнати,З меблями,Авторський проект,,
156,10 000 грн.,"Кривий Ріг, Центрально-Міський - Сьогодні о 16:52",,,,,,,,,
157,7 999 грн.,Черкаси - 06 липня 2024 р.,2,5,35 м²,7 м²,2 кімнати,З меблями,,,
158,9 500 грн.,Ужгород - Сьогодні о 15:18,1,5,25 м²,5 м²,1 кімната,З меблями,,Ні 🥺,
159,5 000 грн.,"Київ, Подільський - Сьогодні о 22:07",18,26,64 м²,17 м²,2 кімнати,Без меблів,Після будівельників,,
160,8 500 грн.,Умань - Сьогодні о 22:06,5,5,53 м²,6 м²,3 кімнати,З меблями,,Ні 🥺,
161,20 289 грн.,"Львів, Франківський - Сьогодні о 22:05",3,15,56 м²,22 м²,1 кімната,З меблями,Євроремонт,,
162,26 000 грн.,Полтава - Сьогодні о 22:02,3,5,57 м²,18 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,Працює опалення
163,14 000 грн.,Рівне - Сьогодні о 22:01,1,5,47 м²,15 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
164,18 260 грн.,"Одеса, Приморський - Сьогодні о 22:01",25,25,42 м²,18 м²,1 кімната,З меблями,Авторський проект,,"Працює опалення, Працює ліфт, Працює інтернет, Підключене резервне живлення"
